Year,Data Generated,Change Over Previous Year,Change Over Previous Year (%)
2010,2 zettabytes,-,-
2011,5 zettabytes,↑ 3 zettabytes,↑ 150%
2012,6.5 zettabytes,↑ 1.5 zettabytes,↑ 30%
2013,9 zettabytes,↑ 2.5 zettabytes,↑ 38.46%
2014,12.5 zettabytes,↑ 3.5 zettabytes,↑ 38.89%
2015,15.5 zettabytes,↑ 3 zettabytes,↑ 24%
2016,18 zettabytes,↑ 2.5 zettabytes,↑ 16.13%
2017,26 zettabytes,↑ 8 zettabytes,↑ 44.44%
2018*,33 zettabytes,↑ 7 zettabytes,↑ 26.92%
2019*,41 zettabytes,↑ 8 zettabytes,↑ 24.24%
2020*,64.2 zettabytes,↑ 23.2 zettabytes,↑ 56.59%
2021*,79 zettabytes,↑ 14.8 zettabytes,↑ 23.05%
2022*,97 zettabytes,↑ 18 zettabytes,↑ 22.78%
2023*,120 zettabytes,↑ 23 zettabytes,↑ 23.71%
2024*,147 zettabytes,↑ 27 zettabytes,↑ 22.5%
2025*,181 zettabytes,↑ 34 zettabytes,↑ 23.13%
